District,Population
Adalar Islands,16.052
Arnavutkoy ,225.67
Atasehir ,408.986
Avcilar ,417.852
Bagcilar ,754.623
Bahcelievler ,599.027
Bakirkoy ,221.594
Basaksehir ,342.422
Bayrampasa ,269.809
Besiktas ,188.793
Beylikduzu ,262.473
Beykoz ,248.071
Beyoglu ,241.52
Buyukcekmece ,223.324
Catalca ,67.843
Cekmekoy ,220.656
Esenler ,458.857
Esenyurt ,686.968
Eyüp ,367.824
Fatih ,419.266
Gaziosmanpasa ,498.12
Gungoren ,303.371
Kadiköy ,482.571
Kagithane ,432.23
Kartal ,450.498
Kucukcekmece ,748.398
Maltepe ,476.806
Pendik ,663.569
Sancaktepe ,329.788
Sariyer ,337.681
Silivri ,161.165
Sultanbeyli ,315.022
Sultangazi ,513.022
Sile ,32.823
Sisli ,272.38
Tuzla ,221.62
Umraniye ,674.131
Üsküdar ,534.97
Zeytinburnu ,287.223
,14377.018
,187.1494489
